ordinal,pageid,namespace,kind,title,revid,parentid,timestamp,mediawiki_sha1,wikitext_bytes
1,165855,106,course_root,Kurs:Algebraische Kurven (Osnabrück 2025-2026),1074230,1033797,2026-03-05T17:37:16Z,c57a12e31db00f384820f6667f3ebbb03d0dc542,541
2,167055,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affin-algebraische Mengen/Affin-linear äquivalent/Impliziert isomorphen Restklassenring/Fakt/Faktreferenznummer,1055530,0,2025-10-15T12:08:48Z,677a1e7532b771f832bca3e8af4c4af0cb950205,44
3,166400,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affin-algebraische Mengen/Affiner Raum/Unendlicher Körper/Koordinatenring ist Polynomring/Fakt/Faktreferenznummer,1051358,0,2025-08-18T08:08:54Z,2fedbe163021f7cec138758f8bb44bdf0186cf15,45
4,167199,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affin-algebraische Teilmengen/Zerlegung in irreduzible Komponenten/Fakt/Faktreferenznummer,1056168,0,2025-10-21T09:42:08Z,f6f6383647b6725f6e83bc844df74c244242b0d9,45
5,166516,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Ebene/Rationale Abbildung/Bild ist algebraisch/Fakt/Faktreferenznummer,1051509,0,2025-08-18T08:53:40Z,9156ab695cf2fc3ccd6f536ed61f4deb48e15cd2,45
6,166476,106,course_local_other,"Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Ebene/y ist 2x^4+3x^2-x+1/(1,5)/Transformation auf Nullpunkt, Tangente auf x-Achse/Aufgabe/Aufgabereferenznummer",1062625,1062222,2025-12-18T15:12:03Z,7918e722a62ff21d47e08f7048de53edac08aab9,48
7,166461,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Kurven/Monomiale Kurven/Beschreibende binomiale Gleichungen/Fakt/Faktreferenznummer,1051446,0,2025-08-18T08:30:18Z,ff03dfe9d1c3a2c765afad3595d9396ac2e0a2ae,45
8,166517,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Kurven/Monomiale Kurvenabbildung/Ist Normalisierung/Fakt/Faktreferenznummer,1062475,1051510,2025-12-16T10:05:49Z,8015ee98186703d744be055d50bc827bc3fc5f7a,46
9,166368,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Quadriken in zwei Variablen/Erste Reduktion/Fakt/Faktreferenznummer,1051303,0,2025-08-18T07:37:48Z,7dbf8eb7c4856b12267e7197eb4a611e40740635,45
10,166347,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Räume/K unendlich/Bild unter polynomialer Abbildung/ist irreduzibel/Fakt/Faktreferenznummer,1051277,0,2025-08-18T07:29:29Z,7aa1e9d34f5e6692df7087d1bb69ead7bc5803d7,45
