ordinal,pageid,namespace,kind,title,revid,parentid,timestamp,mediawiki_sha1,wikitext_bytes
11,166509,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietät/Projektiver Abschluss/Beschreibung mit Homogenisierung/Fakt/Faktreferenznummer,1051500,0,2025-08-18T08:52:30Z,3569350524b17eaba6cfb8c1f7bdaf6550bbe614,45
12,166401,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/Algebraisch abgeschlossener Körper/D(f i) überdeckt/Erzeugt Einheitsideal/Fakt/Faktreferenznummer,1051359,0,2025-08-18T08:09:04Z,038b81621d78096be5c6ba2c037196de29783baf,50
13,167636,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/Hilbertscher Nullstellensatz (geometrisch)/Algebraisch abgeschlossen/Fakt/Faktreferenznummer,1059477,0,2025-11-21T09:21:35Z,4d19673d579b4e7099a045f1b4caa57a1e596a33,50
14,166357,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/Irreduzible Teilmengen/Primideale/Fakt/Faktreferenznummer,1051288,0,2025-08-18T07:31:09Z,b8b89bc66e22925c9e343f29fbeadc2e25e4d24d,45
15,166369,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/Irreduzible Teilmengen/Schnitt von zwei gleichgroßen Zylindern/Zwei Kreise/Beispiel/Beispielreferenznummer,1051304,0,2025-08-18T07:38:28Z,e8375814a00b1ccc8a0723622ca93872960ea2ad,48
16,166407,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/K-Spektren als Funktor/Fakt/Faktreferenznummer,1051366,0,2025-08-18T08:10:14Z,c4b7848eaaaa0068283c1cd9f30e5abfe1fbbf1d,45
17,166412,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/K-Spektrum/D(f) als K-Spek von R f/Bemerkung/Bemerkungreferenznummer,1051373,0,2025-08-18T08:11:34Z,964e9099d49baf50c2408a299bbd4fb5765e1665,50
18,166413,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/K-Spektrum/D(f) als K-Spek von R f/Fakt/Faktreferenznummer,1051374,0,2025-08-18T08:11:44Z,4b543a498f2e21500d6445eb5eb4edb8c65dc6ef,45
19,166352,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/Polynomring und affiner Raum/Idealinklusion und Nullstellenmenge/Fakt/Faktreferenznummer,1051282,0,2025-08-18T07:30:19Z,6330463825e14f8cf5f67893d2dd3250a43fd308,45
20,166353,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/Vereinigung und Durchschnitt von affin-algebraischen Mengen im affinen Raum/Fakt/Faktreferenznummer,1051283,0,2025-08-18T07:30:29Z,713e8d1742ecef5eaacb2dc523c00bf323fd9dfd,51
21,166402,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/Verschwindungsideal zu Teilmenge/Definition/Definitionreferenznummer,1051360,0,2025-08-18T08:09:14Z,ae6444f6cf137a2046ed618ba2c2d022a3d75148,50
22,166403,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/Verschwindungsideal zu Teilmenge/ist Radikal/Fakt/Faktreferenznummer,1051361,0,2025-08-18T08:09:24Z,3de97bb3c60efc594704e66984be86537eff33a0,46
23,166354,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/Verschwindungsideal zu Teilmenge/Nullstellengebilde/Beziehung/Fakt/Faktreferenznummer,1051284,0,2025-08-18T07:30:39Z,5a6d9e1a6df267c382713bb9ca4a78d2dc921537,45
24,166416,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine Varietäten/Verschwindungsideal/Antimonotonie/Fakt/Faktreferenznummer,1051378,0,2025-08-18T08:12:24Z,900f5d8ed081cc13768b3e1c9bf2e0248b62d27f,45
25,166445,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affine-algebraische Mengen/Koordinatenring/Grundeigenschaften/Fakt/Faktreferenznummer,1051427,0,2025-08-18T08:27:28Z,c3074799657905e81ddedf6e7dede6c625f2e22e,52
26,166386,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affiner Raum/Algebraisch abgeschlossener Körper/D(f i) überdeckt/Erzeugt Einheitsideal/Fakt/Faktreferenznummer,1051341,0,2025-08-18T08:06:34Z,fade6c2350b71db0346d3ca9d18988793b3a59de,49
27,166404,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affiner Raum/Hilbertscher Nullstellensatz (geometrisch)/Algebraisch abgeschlossen/Fakt/Faktreferenznummer,1051362,0,2025-08-18T08:09:34Z,8a4f548e63f251a1da89be037f736bd2e38e68c6,45
28,166355,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affiner Raum/Punktideal/Maximal/Aufgabe/Aufgabereferenznummer,1051285,0,2025-08-18T07:30:49Z,bde893903c5dba7c96338255e03d4eb4ab758e4e,48
29,166360,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Affiner Raum/Zariski-Topologie/Zariski-Abschluss ist V zu Verschwindungsideal/Fakt/Faktreferenznummer,1051292,0,2025-08-18T07:32:19Z,f73c8e2741013496a62975c64d73b09e37ced731,46
30,165865,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Aktuelles,1079130,1076325,2026-05-10T10:15:21Z,0e00734f57f2d986adf6f2e5b8f96463fe9e9ad8,213
31,166343,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Algebraische ebene Kurven/Beispiele/1/Skizziere/Aufgabe/Aufgabereferenznummer,1055481,1051272,2025-10-15T08:46:53Z,49cbb770e36c3c8790e194ab3e5745d36de32200,47
32,166387,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Algebren von endlichem Typ über Körper/Algebraisch abgeschlossen/Maximale Ideale sind Punktideal/Fakt/Faktreferenznummer,1051342,0,2025-08-18T08:06:44Z,fa6d7bfef1bf49680ae905a4933b87af125bd70c,46
33,166390,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Algebren von endlichem Typ über Körper/Homomorphismen/Urbild von maximalem Ideal ist maximal/Fakt/Faktreferenznummer,1051346,0,2025-08-18T08:07:14Z,615aeb5c4b888fee0c42f9ebcf23eb6c7d53e0d1,45
34,166405,106,course_local_other,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Algebren von endlichem Typ über Körper/Radikal ist Durchschnitt von maximalen Idealen/Fakt/Faktreferenznummer,1051363,0,2025-08-18T08:09:54Z,ab76022bdaef4e100fa1b27356654be7b7c4bda0,45
35,165920,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 1,1108097,1108094,2026-07-20T09:11:56Z,055d0c31d16df3d158cd4e864c701a061a337160,3258
36,166044,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 1/kontrolle,1033092,0,2025-08-11T14:05:46Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
37,166014,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 1/latex,1033061,0,2025-08-11T14:00:46Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
38,165929,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 10,1058833,1058753,2025-11-13T14:59:04Z,48ce873997cecbd45efdceb3a7caa19ae7844876,3652
39,166053,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 10/kontrolle,1033102,0,2025-08-11T14:07:16Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
40,166023,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 10/latex,1033070,0,2025-08-11T14:02:16Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
41,165930,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 11,1062657,1059295,2025-12-19T12:03:06Z,1b95cc02cb9d0260971c1fa369afc8969fa13262,2988
42,166054,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 11/kontrolle,1033103,0,2025-08-11T14:07:26Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
43,166024,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 11/latex,1033071,0,2025-08-11T14:02:26Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
44,165931,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 12,1067822,1060180,2026-01-30T07:25:08Z,c65053c29d4a96d478740742ae6d7157b48019fe,4287
45,166055,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 12/kontrolle,1033104,0,2025-08-11T14:07:36Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
46,166025,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 12/latex,1033072,0,2025-08-11T14:02:36Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
47,165932,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 13,1065092,1060081,2026-01-15T10:23:01Z,20d30f0f2a09974c436262bbe20c0fab3fa34faa,4584
48,166056,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 13/kontrolle,1033105,0,2025-08-11T14:07:46Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
49,166026,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 13/latex,1033073,0,2025-08-11T14:02:46Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
50,165933,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 14,1061213,1060086,2025-12-04T10:14:37Z,3313c0d85b8477557eca2efe9b74d71d3b712a4b,4456
51,166057,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 14/kontrolle,1033106,0,2025-08-11T14:07:56Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
52,166027,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 14/latex,1033074,0,2025-08-11T14:02:56Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
53,165934,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 15,1062620,1062169,2025-12-18T15:03:34Z,346fec4a9ab11ba39f42f25198e5adfc26d6c71c,3902
54,166058,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 15/kontrolle,1033107,0,2025-08-11T14:08:06Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
55,166028,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 15/latex,1033075,0,2025-08-11T14:03:06Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
56,165935,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 16,1067952,1062602,2026-01-30T14:56:38Z,5aee338323cba27122a11b018b7ed938761b3d2f,2488
57,166059,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 16/kontrolle,1033108,0,2025-08-11T14:08:16Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
58,166029,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 16/latex,1033076,0,2025-08-11T14:03:16Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
59,165936,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 17,1068111,1062139,2026-01-31T10:26:12Z,1d9cda72f556181cf9d9e50c3784c41ddaa96888,4408
60,166060,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 17/kontrolle,1033110,0,2025-08-11T14:08:26Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
61,166030,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 17/latex,1033077,0,2025-08-11T14:03:26Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
62,165937,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 18,1062146,1057229,2025-12-10T15:25:27Z,283fabbf95717c759b92d7845d97cbf77c0dcbd9,3315
63,166061,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 18/kontrolle,1033111,0,2025-08-11T14:08:36Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
64,166031,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 18/latex,1033079,0,2025-08-11T14:03:36Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
65,165938,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 19,1068448,1068123,2026-02-02T08:21:09Z,353782c5c739a0355fe7943ae88af68b2b9f4618,1674
66,166062,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 19/kontrolle,1033112,0,2025-08-11T14:08:46Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
67,166032,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 19/latex,1033080,0,2025-08-11T14:03:46Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
68,165921,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 2,1062654,1062158,2025-12-19T11:52:22Z,37a2abba78dc4a43846840da237f022d4576adfe,3720
69,166045,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 2/kontrolle,1033093,0,2025-08-11T14:05:56Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
70,166015,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 2/latex,1033062,0,2025-08-11T14:00:56Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
71,165939,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 20,1062603,1062601,2025-12-18T10:53:10Z,97db112f709b6ab16f89b88f6d4e3da127c7802a,2663
72,166063,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 20/kontrolle,1033113,0,2025-08-11T14:08:56Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
73,166033,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 20/latex,1033081,0,2025-08-11T14:03:56Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
74,165940,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 21,1062605,1062593,2025-12-18T11:05:07Z,38a7856a5df3695eb80874194bc043dda3377f90,2974
75,166064,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 21/kontrolle,1033114,0,2025-08-11T14:09:06Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
76,166034,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 21/latex,1033082,0,2025-08-11T14:04:06Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
77,165941,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 22,1062660,1062619,2025-12-19T12:06:58Z,e82e91c94f0a39d73aa10913d6821f673925893e,3112
78,166065,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 22/kontrolle,1033115,0,2025-08-11T14:09:16Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
79,166035,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 22/latex,1033083,0,2025-08-11T14:04:16Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
80,165942,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 23,1062659,1062658,2025-12-19T12:06:03Z,19554b41098b4f02ac6e558145036ca293e4bbc9,2059
81,166066,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 23/kontrolle,1033116,0,2025-08-11T14:09:26Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
82,166036,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 23/latex,1033084,0,2025-08-11T14:04:26Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
83,165943,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 24,1112533,1064859,2026-08-21T15:42:11Z,b0044cc0e06067a2094408f4a4c3161041cdba3a,3197
84,166067,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 24/kontrolle,1033117,0,2025-08-11T14:09:36Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
85,166037,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 24/latex,1033085,0,2025-08-11T14:04:36Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
86,165944,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 25,1112637,1065151,2026-08-21T16:24:55Z,e1e931eaa677ddb4f09630568ea29c7242092248,1603
87,166068,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 25/kontrolle,1033118,0,2025-08-11T14:09:46Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
88,166038,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 25/latex,1033086,0,2025-08-11T14:04:46Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
89,165945,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 26,1067865,1065235,2026-01-30T10:06:36Z,8f1a4bbae0e6239dd8ea0d7b791ae64a93044907,2214
90,166069,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 26/kontrolle,1033119,0,2025-08-11T14:09:56Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
91,166039,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 26/latex,1033087,0,2025-08-11T14:04:56Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
92,165946,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 27,1072798,1068349,2026-02-20T12:48:22Z,94e0fbf93ec41185820195c38f7055c9a56d4449,3199
93,166070,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 27/kontrolle,1033120,0,2025-08-11T14:10:06Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
94,166040,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 27/latex,1033088,0,2025-08-11T14:05:06Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
95,165947,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 28,1112697,1068347,2026-08-21T16:36:09Z,b46aa21d8ff6ab1b1e88354ad454b04cc508243a,5001
96,166071,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 28/kontrolle,1033121,0,2025-08-11T14:10:16Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
97,166041,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 28/latex,1033089,0,2025-08-11T14:05:16Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
98,165948,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 29,1068353,1068348,2026-02-01T11:02:24Z,1efd199553034aae8eb967798ed2c141441a3af8,3575
99,166072,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 29/kontrolle,1033122,0,2025-08-11T14:10:26Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
100,166042,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 29/latex,1033090,0,2025-08-11T14:05:26Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
101,165922,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 3,1061785,1061781,2025-12-08T09:46:03Z,d030496f7c78a434250657f10206ab4ba69ade1e,2807
102,166046,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 3/kontrolle,1033094,0,2025-08-11T14:06:06Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
103,166016,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 3/latex,1033063,0,2025-08-11T14:01:06Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
104,165949,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 30,1112574,1068352,2026-08-21T16:15:19Z,8fca03bc723e6315503ef74c51d24e6fea2207f6,2146
105,166073,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 30/kontrolle,1033123,0,2025-08-11T14:10:36Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
106,166043,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 30/latex,1033091,0,2025-08-11T14:05:36Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
107,165923,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 4,1075377,1074206,2026-03-11T10:41:52Z,e938dbe41b7474eff311dfc04732ab251fe9c086,4472
108,166047,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 4/kontrolle,1033095,0,2025-08-11T14:06:16Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
109,166017,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 4/latex,1033064,0,2025-08-11T14:01:16Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
110,165924,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 5,1062652,1055912,2025-12-19T11:50:54Z,23ae014ac445f9189e80c6d48007971cd596c227,3966
111,166048,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 5/kontrolle,1033096,0,2025-08-11T14:06:26Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
112,166018,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 5/latex,1033065,0,2025-08-11T14:01:26Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
113,165925,106,worksheet,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 6,1059354,1057870,2025-11-19T11:00:28Z,66a5c51263dd1bbe94cdc78e5d38405d2a5f41d4,3469
114,166049,106,worksheet_control,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 6/kontrolle,1033097,0,2025-08-11T14:06:36Z,b4fb7a17c1cd89774d7dbd81e7be5e7a5a6c6d9b,13
115,166019,106,worksheet_latex,Kurs:Algebraische Kurven (Osnabrück 2025-2026)/Arbeitsblatt 6/latex,1033066,0,2025-08-11T14:01:36Z,3034e92c1843eab298fb5f6f859d2c89cf824d61,9
